AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	disease	ecotype	isolation_source	sex	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	age	dev_stage	tissue
250	SAMN08465522	SRX3646912	L6414-1_BO15-097_S5	19345	9314	SRR6670165	SRS2911538	BO15-097	60	B_urban_2014	Site B:urban_2014	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465524	SRX3646911	L5736-1_BO15-055_GGCTAC_L006	47338	16327	SRR6670166	SRS2911537	BO15-055	62	C1_urban_2012	Site C1:urban_2012	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465523	SRX3646910	L5738-1_BO15-057_AGTCAA_L007	2935	968	SRR6670167	SRS2911536	BO15-057	61	C1_urban_2012	Site C1:urban_2012	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465526	SRX3646909	L6388-1_BO15-067_S3	21997	9622	SRR6670168	SRS2911535	BO15-067	64	C1_urban_2012	Site C1:urban_2012	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
200	SAMN08465525	SRX3646908	L5744-1_BO15-064_S1	15254	10367	SRR6670169	SRS2911534	BO15-064	63	C1_urban_2012	Site C1:urban_2012	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465528	SRX3646907	L5743-1_BO15-063_GTGAAA_L008	12742	4147	SRR6670170	SRS2911533	BO15-063	66	C1_urban_2012	Site C1:urban_2012	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
200	SAMN08465527	SRX3646906	L5745-1_BO15-065_S2	9930	6933	SRR6670171	SRS2911532	BO15-065	65	C1_urban_2012	Site C1:urban_2012	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465530	SRX3646905	L5740-1_BO15-059_ATGTCA_L007	40662	13578	SRR6670172	SRS2911531	BO15-059	68	C1_urban_2012	Site C1:urban_2012	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465529	SRX3646904	L6387-1_BO15-060_S2	18948	8250	SRR6670173	SRS2911530	BO15-060	67	C1_urban_2012	Site C1:urban_2012	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
200	SAMN08465532	SRX3646903	L5746-1_BO15-066_S3	10737	7395	SRR6670174	SRS2911529	BO15-066	70	C1_urban_2012	Site C1:urban_2012	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465531	SRX3646902	L5735-1_BO15-054_S17	9234	3908	SRR6670175	SRS2911528	BO15-054	69	C1_urban_2012	Site C1:urban_2012	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465581	SRX3646901	L6493-1_BO15-177_S15	17492	8394	SRR6670176	SRS2911527	BO15-177	119	C1_rural_2012	Site C1:rural_2012	female	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465582	SRX3646900	L6466-1_BO15-150_S12	20284	9761	SRR6670177	SRS2911526	BO15-150	120	C1_rural_2012	Site C1:rural_2012	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
250	SAMN08465573	SRX3646899	L10046-1_BO17-003_S11	20713	7264	SRR6670178	SRS2911525	BO17-003	111	B_rural_2016	Site B:rural_2016	male	WGS	PRJNA431202	Model organism or animal	MASSABOB'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	GENOMIC	2018-02-05	Athene cunicularia	ILLUMINA	2018-04-17	SRP132168	missing	adult	blood
