study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	read_count	base_count	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	sample_alias	sample_title
PRJEB7359	SAMEA2785559	ERS555249	ERX593951	ERR637506	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	85656650	17131330000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637506/ERR637506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637506/ERR637506_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_D6-2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_D6-2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637506	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637506	I_D6-2	I_D6-2
PRJEB7359	SAMEA2785560	ERS555250	ERX593952	ERR637507	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	50989411	10197882200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637507/ERR637507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637507/ERR637507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_DA-3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_DA-3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637507	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637507	I_DA-3	I_DA-3
PRJEB7359	SAMEA2785561	ERS555251	ERX593953	ERR637508	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	60472518	12094503600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637508/ERR637508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637508/ERR637508_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_DB-1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_DB-1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637508	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637508	I_DB-1	I_DB-1
PRJEB7359	SAMEA2785562	ERS555252	ERX593954	ERR637509	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	127090712	25418142400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637509/ERR637509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637509/ERR637509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_E30-3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_E30-3_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637509	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637509	I_E30-3	I_E30-3
PRJEB7359	SAMEA2785563	ERS555253	ERX593955	ERR637510	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	132368515	26473703000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637510/ERR637510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637510/ERR637510_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_F1-1_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_F1-1_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637510	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637510	I_F1-1	I_F1-1
PRJEB7359	SAMEA2785564	ERS555254	ERX593956	ERR637511	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	91949233	18389846600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637511/ERR637511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637511/ERR637511_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_F16-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_F16-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637511	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637511	I_F16-2	I_F16-2
PRJEB7359	SAMEA2785565	ERS555255	ERX593957	ERR637512	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	86729685	17345937000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637512/ERR637512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637512/ERR637512_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_F9-1_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_F9-1_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637512	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637512	I_F9-1	I_F9-1
PRJEB7359	SAMEA2785566	ERS555256	ERX593958	ERR637513	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	85742616	17148523200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637513/ERR637513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637513/ERR637513_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_G13-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_G13-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637513	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637513	I_G13-2	I_G13-2
PRJEB7359	SAMEA2785567	ERS555257	ERX593959	ERR637514	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	138266807	27653361400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637514/ERR637514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637514/ERR637514_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_GX_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_GX_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637514	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637514	I_GX	I_GX
PRJEB7359	SAMEA2785568	ERS555258	ERX593960	ERR637515	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	63805197	12761039400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637515/ERR637515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637515/ERR637515_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_GY-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_GY-2_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637515	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637515	I_GY-2	I_GY-2
PRJEB7359	SAMEA2785569	ERS555259	ERX593961	ERR637516	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	95232409	19046481800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637516/ERR637516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637516/ERR637516_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LA_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LA_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637516	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637516	I_LA	I_LA
PRJEB7359	SAMEA2785570	ERS555260	ERX593962	ERR637517	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	105146136	21029227200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637517/ERR637517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637517/ERR637517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LC-2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LC-2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637517	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637517	I_LC-2	I_LC-2
PRJEB7359	SAMEA2785571	ERS555261	ERX593963	ERR637518	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	111663159	22332631800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637518/ERR637518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637518/ERR637518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LX-2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LX-2_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637518	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637518	I_LX-2	I_LX-2
PRJEB7359	SAMEA2785572	ERS555262	ERX593964	ERR637519	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	72211717	14442343400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637519/ERR637519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637519/ERR637519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LY-1_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LY-1_F.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637519	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637519	I_LY-1	I_LY-1
PRJEB7359	SAMEA2785573	ERS555263	ERX593965	ERR637520	59894	Ficedula albicollis	Illumina HiSeq 2000	450	PAIRED	93380807	18676161400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637520/ERR637520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR637/ERR637520/ERR637520_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LZ-1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/ERA362/ERA362838/bam/I_LZ-1_M.merged.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637520	ftp.sra.ebi.ac.uk/vol1/err/ERR637/ERR637520	I_LZ-1	I_LZ-1
